Asset 1,Asset 1 Industry,Asset 1 Sector,Asset 1 Long Name,Asset 2,Asset 2 Industry,Asset 2 Sector,Asset 2 Long Name,ADF p-Value,TestDate
APD,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc.",PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.027389,2024-11-15
CPT,REIT - Residential,Real Estate,Camden Property Trust,UDR,REIT - Residential,Real Estate,"UDR, Inc.",0.027354,2024-11-18
CPB,Packaged Foods,Consumer Defensive,Campbell Soup Company,LW,Packaged Foods,Consumer Defensive,"Lamb Weston Holdings, Inc.",0.027215,2024-11-19
APD,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc.",PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.027135,2024-11-14
ANET,Computer Hardware,Technology,"Arista Networks, Inc.",HPQ,Computer Hardware,Technology,HP Inc.,0.027057,2024-11-19
KDP,Beverages - Non-Alcoholic,Consumer Defensive,Keurig Dr Pepper Inc.,MNST,Beverages - Non-Alcoholic,Consumer Defensive,Monster Beverage Corporation,0.027019,2024-11-14
IFF,Specialty Chemicals,Basic Materials,International Flavors & Fragrances Inc.,PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.026972,2024-11-18
AON,Insurance Brokers,Financial Services,Aon plc,WTW,Insurance Brokers,Financial Services,Willis Towers Watson Public Limited Company,0.026838,2024-11-18
APD,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc.",PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.026717,2024-11-19
APTV,Auto Parts,Consumer Cyclical,Aptiv PLC,BWA,Auto Parts,Consumer Cyclical,BorgWarner Inc.,0.026385,2024-11-15
FICO,Software - Application,Technology,Fair Isaac Corporation,PTC,Software - Application,Technology,PTC Inc.,0.026243,2024-11-18
